Date;Open;High;Low;Close
2019.03.25;15007.65;15007.65;14869.99;14916.85
2019.03.22;15162.42;15202.33;15029.94;15051.35
2019.03.20;15185.29;15193.06;15120.21;15136.60
2019.03.19;15115.09;15168.54;15073.69;15160.68
2019.03.18;15085.01;15163.15;15022.83;15069.49
2019.03.15;14979.40;15114.96;14978.17;15045.28
2019.03.14;15002.48;15029.99;14937.29;14970.59
2019.03.13;14978.17;15006.28;14922.02;14973.72
2019.03.12;14870.35;14984.23;14869.30;14949.37
2019.03.11;14621.78;14813.53;14621.01;14797.78
2019.03.08;14621.32;14621.32;14553.63;14591.91
2019.03.07;14656.29;14662.35;14590.90;14612.15
2019.03.06;14581.15;14645.85;14575.61;14618.31
2019.03.05;14345.97;14537.61;14286.19;14532.99
2019.03.01;14247.43;14333.03;14246.80;14319.03
2019.02.28;14221.89;14244.16;14171.63;14196.80
2019.02.27;14240.60;14356.31;14105.37;14173.30
2019.02.26;14171.65;14253.28;14028.05;14186.18
2019.02.25;14177.67;14254.75;14151.99;14245.60
2019.02.22;14114.90;14151.48;14083.70;14136.76
2019.02.21;14048.12;14126.93;14015.57;14105.87
2019.02.20;13920.41;14033.41;13916.11;14019.13
2019.02.19;13888.27;13994.10;13839.50;13858.93
2019.02.18;14010.18;14027.18;13864.96;13874.99
2019.02.15;14092.59;14100.54;13886.97;13994.20
2019.02.14;14091.04;14100.00;14019.96;14064.80
2019.02.13;14189.56;14220.11;14066.46;14087.93
2019.02.12;14219.65;14248.32;14137.92;14148.34
2019.02.11;14330.25;14330.83;14190.17;14214.75
2019.02.08;14477.46;14479.71;14302.30;14323.79
2019.02.07;14471.14;14553.39;14452.50;14500.24
2019.02.06;14358.88;14468.11;14337.26;14450.95
2019.02.05;14340.30;14375.15;14303.31;14322.26
2019.02.04;14367.91;14367.91;14234.63;14338.05
2019.02.01;14319.80;14476.38;14257.99;14361.85
2019.01.31;14151.16;14287.71;14117.76;14285.11
2019.01.30;14144.94;14153.70;14038.66;14083.19
2019.01.29;14088.15;14122.56;14001.25;14075.71
2019.01.28;14284.66;14289.58;14039.03;14075.91
2019.01.25;14410.47;14479.96;14232.12;14260.83
2019.01.24;14393.30;14409.93;14339.00;14383.46
2019.01.23;14490.41;14507.45;14359.23;14379.84
2019.01.22;14524.36;14524.40;14392.74;14470.55
2019.01.21;14515.72;14580.67;14471.90;14506.57
2019.01.18;14542.73;14556.61;14450.17;14488.81
2019.01.17;14550.62;14574.39;14459.80;14524.79
2019.01.16;14534.20;14577.79;14508.36;14520.13
2019.01.15;14382.82;14523.07;14382.82;14514.43
2019.01.14;14452.98;14455.40;14297.20;14350.37
2019.01.11;14487.11;14498.23;14365.77;14422.98
2019.01.10;14487.49;14500.89;14441.80;14459.85
2019.01.09;14485.63;14506.50;14356.02;14470.17
2019.01.08;14419.19;14443.75;14352.95;14425.57
2019.01.07;14452.50;14483.96;14371.52;14389.35
2019.01.04;14322.60;14371.90;14239.57;14355.02
2019.01.03;14447.93;14481.75;14279.15;14290.85
2019.01.02;14567.63;14582.13;14382.22;14432.40
2019.01.01;14572.46;14595.97;14476.44;14587.25
2018.12.31;14569.19;14602.48;14529.23;14540.39
2018.12.28;14429.66;14550.09;14429.65;14516.04
2018.12.27;14436.69;14457.38;14382.93;14390.12
2018.12.26;14274.22;14354.48;14084.15;14334.40
2018.12.24;14435.86;14447.86;14263.68;14279.65
2018.12.21;14657.12;14681.14;14383.66;14401.20
2018.12.20;14613.84;14656.40;14568.66;14642.72
2018.12.19;14593.27;14679.41;14591.39;14661.08
2018.12.18;14507.34;14562.29;14443.20;14553.10
2018.12.17;14465.00;14530.11;14464.99;14515.94
2018.12.14;14403.90;14443.86;14350.50;14412.03
2018.12.13;14393.51;14452.50;14335.39;14390.84
2018.12.12;14080.02;14321.38;14056.30;14306.94
2018.12.11;13784.28;14056.20;13735.91;14033.22
2018.12.10;14011.98;14019.15;13890.99;13904.18
2018.12.07;14141.26;14181.64;14078.21;14170.58
2018.12.06;14258.16;14259.46;14070.21;14080.71
2018.12.05;14419.12;14421.79;14275.67;14315.92
2018.12.04;14486.78;14488.03;14427.40;14454.31
2018.12.03;14501.95;14518.88;14425.38;14469.78
2018.11.30;14441.08;14481.82;14384.59;14429.00
2018.11.29;14336.68;14420.11;14321.67;14396.33
2018.11.28;14274.42;14317.10;14240.65;14250.62
2018.11.27;14192.46;14247.64;14150.85;14237.43
